0,10,9741901224,2992565910
0,20,19623348304,5661071716
0,30,28688064934,8385823674
0,40,37740958794,11136559824
0,50,48190550628,13921163722
0,60,56810361958,17611260642
0,70,66978463012,19737937376
0,80,81962362906,24056363014
0,90,92708832930,25813463190
0,100,106185857286,30922076822
2,10,11055225636,4918376868
2,20,25369499284,8972959412
2,30,29981804656,14033627440
2,40,43258468250,18769278064
2,50,54682535798,24595987220
2,60,61811326272,29616286900
2,70,72854105066,33664359722
2,80,93763483868,47078290966
2,90,95953543160,39219377490
2,100,99782608576,48291169648
