0,10,9376504734,2786313128
0,20,19077466886,5533458070
0,30,28263447566,8283968756
0,40,38888620564,11979834594
0,50,49710450914,14402653442
0,60,57457138228,18900726724
0,70,67487345210,19482345912
0,80,77320115176,22229568692
0,90,88488307254,25192977690
0,100,95387918116,29038668392
2,10,10292945728,4547108240
2,20,19568971124,9001227850
2,30,29779477558,13412010556
2,40,40286639670,18816261940
2,50,322279335450,30378981452
2,60,63690835250,28917991868
2,70,82007186254,36870433522
2,80,105949909314,47039980408
2,90,90834108828,54211735616
2,100,104629267566,56141884226
